ra,dec,apflux_r_0.5arcsec,apflux_r_0.75arcsec,apflux_r_1.0arcsec,apflux_r_1.5arcsec,apflux_r_2.0arcsec,apflux_r_3.5arcsec,apflux_r_5.0arcsec
63.761036214405024,-4.166337046,25.2384,40.1782,49.4706,57.5288,60.3959,62.9241,64.3628
63.76167522731453,-24.98516804,10.0924,16.5366,21.1167,26.1358,28.0364,29.8294,33.0598
63.76294554043461,-77.91051766,27.7998,47.6486,62.2286,76.7807,82.0392,86.1993,87.3796
63.763564799681546,-3.389005693,57.0977,93.7014,118.5319,140.4249,147.5446,153.2755,155.4406
63.7656855566744,-30.13295141,15.6732,27.4204,36.4711,45.838,49.5,52.7103,53.6881
63.76654015807213,-70.19758247,11.594,20.3249,27.6239,36.4711,39.947,42.3525,43.5267
63.7737043250818,-1.407595042,74.5819,120.3233,148.8765,172.5651,180.2266,186.0437,188.1661
63.774057072627166,-10.50189807,61.9771,101.629,127.2355,150.1744,158.7205,166.2671,168.512
63.77534548198423,-64.28975659,69.0891,118.8583,154.5692,188.1623,200.4198,210.7482,213.3103
63.775410877365296,3.1620077323820857,3.7435,7.7061,12.227,20.5083,26.1643,32.0481,34.0112
63.77557060320266,3.16188055588178,4.9561,9.8106,14.9119,23.0737,27.7525,32.334,34.0835
63.7756977902219,-1.589166414,47.2324,76.4964,95.6246,112.6097,117.8841,121.6107,122.943
63.77611892873435,-57.29071282,18.1271,30.4312,39.9184,50.7289,54.4187,56.8853,57.5951
63.77698694512889,-2.183810543,26.2996,41.8493,51.3402,59.2617,61.8497,64.0412,65.6363
63.77865266963079,-22.20183854,14.2344,26.9224,39.0231,54.5971,60.5247,64.4947,65.6906
63.778839751159474,-22.20176034,17.9478,32.1228,43.7694,56.6063,61.2131,64.5012,65.743
63.78132109972238,-57.03166959,26.8087,43.9089,55.5775,67.6134,72.1897,76.0627,77.2231
63.78386928813658,9.313130291455051,7.8807,15.203,22.3728,32.352,36.8487,40.6135,42.7703
63.785462257303465,-13.52143926,9.7161,18.7296,27.5579,39.6877,45.1934,50.6276,52.5704
63.78561969489349,-13.52141879,12.0852,22.2547,31.1283,41.6038,46.196,50.9097,52.6814
63.786410487604535,-5.576979949,12.7193,21.6306,28.4948,35.975,38.6723,40.9938,42.4589
63.788257348771225,-44.56250926,19.9758,33.3484,42.5275,51.0761,54.1623,56.8353,57.8772
63.789137227543385,-11.95147213,34.7382,58.9218,76.4924,94.1156,100.7782,106.5794,108.4025
63.79024025184762,-76.71050771661747,7.1174,13.0168,18.3921,26.0544,29.9543,33.2237,34.2086
63.79290159387892,-39.81645933,72.5878,122.621,157.4908,189.7846,201.7713,212.2458,214.8993
63.79395748224053,-51.12456991,14.964,26.5262,36.5953,48.283,52.3283,55.3652,56.3193
63.79411029147281,-51.12471262,18.3293,31.6485,41.069,49.651,52.7741,55.4288,56.368
